seed,omega,adaptive,step,k_before,k_after,train_pre,heldout_pre,born,requests,denied,best_gain,coefficient_l1_previous_window,rhs,basis,coefficient_updates_before
19,0.0,1,880,9,9,0.0000003,0.0000005,-1,0,0,5.2014307e-15,2.8217647023477416e-6,901120,36945920,7911
19,0.0,1,920,9,9,0.0000003,0.0000005,-1,0,0,3.0283863e-15,1.8652591751103925e-6,942080,38625280,8271
19,0.0,1,960,9,9,0.0000003,0.0000005,-1,0,0,5.0121663e-15,1.9887466418651648e-6,983040,40304640,8631
19,0.0,1,1000,9,9,0.0000003,0.0000005,-1,0,0,5.5249236e-15,2.5846530730553523e-6,1024000,41984000,8991
19,0.0,1,1040,9,9,0.0000003,0.0000005,-1,0,0,5.180566e-15,2.67750521305149e-6,1064960,43663360,9351
19,0.0,1,1080,9,9,0.0000003,0.0000005,-1,0,0,2.9614876e-15,2.347765523554035e-6,1105920,45342720,9711
19,0.0,1,1120,9,9,0.0000003,0.0000005,-1,0,0,5.940275e-15,2.2643490338045483e-6,1146880,47022080,10071
19,0.0,1,1160,9,9,0.0000003,0.0000005,-1,0,0,4.149595e-15,2.4288583686461925e-6,1187840,48701440,10431
19,0.0,1,1200,9,9,0.0000003,0.0000005,-1,0,0,4.77161e-15,2.7048399097867604e-6,1228800,50380800,10791
19,0.3,0,40,9,9,0.0252588,0.0455056,-1,0,0,4.5642195e-5,3.2415950138079097e-1,40960,1679360,351
19,0.3,0,80,9,9,0.0242381,0.0462948,-1,0,0,3.202295e-5,1.1148336908809142e-1,81920,3358720,711
19,0.3,0,120,9,9,0.0236143,0.0467024,-1,0,0,2.6841186e-5,1.0237741166201886e-1,122880,5038080,1071
19,0.3,0,160,9,9,0.0232148,0.0476969,-1,0,0,2.3900227e-5,8.858679439435946e-2,163840,6717440,1431
19,0.3,0,200,9,9,0.0229788,0.0488586,-1,0,0,2.1667509e-5,7.242860354745062e-2,204800,8396800,1791
19,0.3,0,240,9,9,0.0228468,0.0499541,-1,0,0,1.9944953e-5,5.707528664788697e-2,245760,10076160,2151
19,0.3,0,280,9,9,0.0227760,0.0508924,-1,0,0,1.9712339e-5,4.374238007585518e-2,286720,11755520,2511
19,0.3,0,320,9,9,0.0227395,0.0516447,-1,0,0,1.9555584e-5,3.27330964646535e-2,327680,13434880,2871
19,0.3,0,360,9,9,0.0227214,0.0522199,-1,0,0,1.9444613e-5,2.3938292086313595e-2,368640,15114240,3231
19,0.3,0,400,9,9,0.0227128,0.0526429,-1,0,0,1.9367635e-5,1.7104233984355233e-2,409600,16793600,3591
19,0.3,0,440,9,9,0.0227088,0.0529436,-1,0,0,1.9314828e-5,1.192999832710484e-2,450560,18472960,3951
19,0.3,0,480,9,9,0.0227071,0.0531507,-1,0,0,1.9279174e-5,8.11562446597236e-3,491520,20152320,4311
19,0.3,0,520,9,9,0.0227064,0.0532891,-1,0,0,1.9256457e-5,5.377807440254401e-3,532480,21831680,4671
19,0.3,0,560,9,9,0.0227061,0.0533788,-1,0,0,1.9241748e-5,3.469632647238541e-3,573440,23511040,5031
19,0.3,0,600,9,9,0.0227064,0.0534302,-1,0,0,1.9316472e-5,1.0369353796566116e-2,614400,25190400,5391
19,0.3,0,640,9,9,0.0227060,0.0534697,-1,0,0,1.9229577e-5,5.755880054266527e-3,655360,26869760,5751
19,0.3,0,680,9,9,0.0227060,0.0534903,-1,0,0,1.9222303e-5,1.269803278670878e-3,696320,28549120,6111
19,0.3,0,720,9,9,0.0227060,0.0535021,-1,0,0,1.922088e-5,4.7005972452662803e-4,737280,30228480,6471
19,0.3,0,760,9,9,0.0227060,0.0535092,-1,0,0,1.9210544e-5,5.218405428334405e-4,778240,31907840,6831
19,0.3,0,800,9,9,0.0227060,0.0535115,-1,0,0,1.923267e-5,1.2181759044036511e-2,819200,33587200,7191
19,0.3,0,840,9,9,0.0227059,0.0535139,-1,0,0,1.922346e-5,2.243307051841781e-3,860160,35266560,7551
19,0.3,0,880,9,9,0.0227059,0.0535151,-1,0,0,1.9218625e-5,3.38777734326251e-4,901120,36945920,7911
19,0.3,0,920,9,9,0.0227060,0.0535154,-1,0,0,1.9220259e-5,1.2187806545747512e-4,942080,38625280,8271
19,0.3,0,960,9,9,0.0227060,0.0535157,-1,0,0,1.9223653e-5,1.3142206371011156e-2,983040,40304640,8631
19,0.3,0,1000,9,9,0.0227060,0.0535163,-1,0,0,1.9211417e-5,3.806951025605798e-3,1024000,41984000,8991
19,0.3,0,1040,9,9,0.0227059,0.0535159,-1,0,0,1.9219084e-5,4.826641771883966e-4,1064960,43663360,9351
19,0.3,0,1080,9,9,0.0227060,0.0535159,-1,0,0,1.9218925e-5,6.452994364823661e-5,1105920,45342720,9711
19,0.3,0,1120,9,9,0.0227059,0.0535156,-1,0,0,1.92243e-5,2.509580074160078e-4,1146880,47022080,10071
19,0.3,0,1160,9,9,0.0227060,0.0535179,-1,0,0,1.917079e-5,1.2846493361032996e-2,1187840,48701440,10431
19,0.3,0,1200,9,9,0.0227060,0.0535163,-1,0,0,1.9211157e-5,2.9541457251749392e-3,1228800,50380800,10791
19,0.3,1,40,9,9,0.0252588,0.0455056,-1,0,0,4.5642195e-5,3.2415950138079097e-1,40960,1679360,351
19,0.3,1,80,9,9,0.0242381,0.0462948,-1,0,0,3.202295e-5,1.1148336908809142e-1,81920,3358720,711
19,0.3,1,120,9,9,0.0236143,0.0467024,-1,0,0,2.6841186e-5,1.0237741166201886e-1,122880,5038080,1071
19,0.3,1,160,9,9,0.0232148,0.0476969,-1,0,0,2.3900227e-5,8.858679439435946e-2,163840,6717440,1431
