seed,rich,fresh,omega,adaptive,window,k_before,k_after,incoming_rms,train_after,eval_before,eval_after,requests,denied,repeated_cross_window
19,1,0,0.3,1,1,25,25,6.914666428337891e-3,6.637911459571888e-3,8.164878302200762e-2,8.198358545844926e-2,30,30,9
19,1,0,0.3,1,2,25,25,6.637911459571888e-3,6.630864630943e-3,8.198358545844926e-2,8.233254456979304e-2,30,30,30
19,1,1,0.0,0,0,9,9,3.6502432612400756e-2,2.744979184278421e-2,4.0727518332652576e-2,4.5834768246990315e-2,0,0,0
19,1,1,0.0,0,1,9,9,3.2315185734553366e-2,2.4933782509938517e-2,4.5834768246990315e-2,4.3233302818186846e-2,0,0,0
19,1,1,0.0,0,2,9,9,2.4776853615417226e-2,1.6378677108259944e-2,4.3233302818186846e-2,3.9694503191958774e-2,0,0,0
19,1,1,0.0,1,0,9,12,3.6502432612400756e-2,1.9986798694336696e-6,4.0727518332652576e-2,4.192837400141487e-6,3,0,0
19,1,1,0.0,1,1,12,20,2.3748922873126894e-6,2.5865339556616893e-3,4.192837400141487e-6,2.441678091657724e-3,8,0,0
19,1,1,0.0,1,2,20,25,2.4413166705749513e-3,1.4994954127400638e-4,2.441678091657724e-3,1.1226859037000944e-3,5,0,0
19,1,1,0.3,0,0,9,9,4.691828169493922e-2,3.410904222502948e-2,5.936889435365805e-2,7.834932397487421e-2,0,0,0
19,1,1,0.3,0,1,9,9,5.48653108940609e-2,4.231407776024025e-2,7.834932397487421e-2,5.914378657782081e-2,0,0,0
19,1,1,0.3,0,2,9,9,4.288365025589712e-2,3.757972209627648e-2,5.914378657782081e-2,6.302106599412671e-2,0,0,0
19,1,1,0.3,1,0,9,25,4.691828169493922e-2,6.914666428337891e-3,5.936889435365805e-2,8.164878302200762e-2,20,4,0
19,1,1,0.3,1,1,25,25,5.74381525315951e-2,1.2109627099023289e-2,8.164878302200762e-2,8.087844992363045e-2,30,30,6
19,1,1,0.3,1,2,25,25,6.957324366786842e-2,8.521737713034262e-3,8.087844992363045e-2,8.332320400620545e-2,30,30,7
41,0,0,0.0,0,0,9,9,1.8506064222946268e-2,1.8754533638271506e-7,2.6774750538922486e-2,3.5879013323290664e-7,0,0,0
41,0,0,0.0,0,1,9,9,1.8754533638271506e-7,2.2517215137722985e-7,3.5879013323290664e-7,3.567390974432302e-7,0,0,0
41,0,0,0.0,0,2,9,9,2.2517215137722985e-7,1.8442172721127694e-4,3.567390974432302e-7,2.0216385000338335e-4,0,0,0
41,0,0,0.0,1,0,9,9,1.8506064222946268e-2,1.8754533638271506e-7,2.6774750538922486e-2,3.5879013323290664e-7,0,0,0
41,0,0,0.0,1,1,9,12,1.8754533638271506e-7,1.8900112649747465e-7,3.5879013323290664e-7,4.2156725521187235e-7,3,0,0
41,0,0,0.0,1,2,12,22,1.8900112649747465e-7,1.4307172481440331e-5,4.2156725521187235e-7,4.25343026205479e-4,10,0,0
41,0,0,0.3,0,0,9,9,2.790640341695017e-2,2.0283383336966766e-2,4.7188652753265184e-2,6.460499731134775e-2,0,0,0
41,0,0,0.3,0,1,9,9,2.0283383336966766e-2,2.0283533010577427e-2,6.460499731134775e-2,6.460068872708839e-2,0,0,0
41,0,0,0.3,0,2,9,9,2.0283533010577427e-2,2.0283396964416188e-2,6.460068872708839e-2,6.460009334702223e-2,0,0,0
41,0,0,0.3,1,0,9,25,2.790640341695017e-2,7.220940769079827e-3,4.7188652753265184e-2,2.0867926276261903e-1,20,4,0
41,0,0,0.3,1,1,25,25,7.220940769079827e-3,6.511174759113891e-3,2.0867926276261903e-1,2.1498833896051223e-1,30,30,3
41,0,0,0.3,1,2,25,25,6.511174759113891e-3,6.067597172591738e-3,2.1498833896051223e-1,2.2528845869145564e-1,15,15,15
41,0,1,0.0,0,0,9,9,1.8506064222946268e-2,1.8754533638271506e-7,2.6774750538922486e-2,3.5879013323290664e-7,0,0,0
41,0,1,0.0,0,1,9,9,2.379670421503509e-7,8.87386991616624e-5,3.5879013323290664e-7,1.2345723536117553e-4,0,0,0
41,0,1,0.0,0,2,9,9,9.868799144936546e-5,1.1477606713822837e-5,1.2345723536117553e-4,1.4829893837159729e-5,0,0,0
41,0,1,0.0,1,0,9,9,1.8506064222946268e-2,1.8754533638271506e-7,2.6774750538922486e-2,3.5879013323290664e-7,0,0,0
41,0,1,0.0,1,1,9,9,2.379670421503509e-7,8.87386991616624e-5,3.5879013323290664e-7,1.2345723536117553e-4,0,0,0
41,0,1,0.0,1,2,9,23,9.868799144936546e-5,4.667157661514613e-6,1.2345723536117553e-4,7.511348734264748e-5,14,0,0
41,0,1,0.3,0,0,9,9,2.790640341695017e-2,2.0283383336966766e-2,4.7188652753265184e-2,6.460499731134775e-2,0,0,0
41,0,1,0.3,0,1,9,9,3.740145944954563e-2,2.3952160586072604e-2,6.460499731134775e-2,7.905263435677704e-2,0,0,0
41,0,1,0.3,0,2,9,9,6.719036551369037e-2,2.6096116225168085e-2,7.905263435677704e-2,4.7245830427370676e-2,0,0,0
41,0,1,0.3,1,0,9,25,2.790640341695017e-2,7.220940769079827e-3,4.7188652753265184e-2,2.0867926276261903e-1,20,4,0
41,0,1,0.3,1,1,25,25,1.6175076536397404e-1,1.0657428810084286e-2,2.0867926276261903e-1,1.555686888810175e-1,30,30,0
41,0,1,0.3,1,2,25,25,1.1841152068495736e-1,8.930968336824848e-3,1.555686888810175e-1,6.568872825137523e-2,30,30,23
41,1,0,0.0,0,0,9,9,4.046961621258771e-2,2.0932716183015978e-2,5.953222899417791e-2,7.225910412216323e-2,0,0,0
41,1,0,0.0,0,1,9,9,2.0932716183015978e-2,2.0932716018582546e-2,7.225910412216323e-2,7.226025749742178e-2,0,0,0
41,1,0,0.0,0,2,9,9,2.0932716018582546e-2,2.0932714699616058e-2,7.226025749742178e-2,7.225992272861181e-2,0,0,0
41,1,0,0.0,1,0,9,19,4.046961621258771e-2,4.898352077649103e-4,5.953222899417791e-2,3.193404324294478e-2,10,0,0
41,1,0,0.0,1,1,19,25,4.898352077649103e-4,7.625010944960752e-4,3.193404324294478e-2,1.982660361947867e-2,12,6,0
41,1,0,0.0,1,2,25,25,7.625010944960752e-4,2.71530876282501e-3,1.982660361947867e-2,1.0456873654766167e-2,17,17,13
41,1,0,0.3,0,0,9,9,4.288583055675047e-2,3.3146881211068374e-2,7.090297307115238e-2,9.307313011838833e-2,0,0,0
41,1,0,0.3,0,1,9,9,3.3146881211068374e-2,3.3146869980249134e-2,9.307313011838833e-2,9.307326959797425e-2,0,0,0
41,1,0,0.3,0,2,9,9,3.3146869980249134e-2,3.314690137822192e-2,9.307326959797425e-2,9.30700115022435e-2,0,0,0
41,1,0,0.3,1,0,9,25,4.288583055675047e-2,9.618291925190219e-3,7.090297307115238e-2,1.876354286189384e-1,20,4,0
41,1,0,0.3,1,1,25,25,9.618291925190219e-3,9.57886130961012e-3,1.876354286189384e-1,2.235903430487489e-1,30,30,25
41,1,0,0.3,1,2,25,25,9.57886130961012e-3,9.566485706292451e-3,2.235903430487489e-1,2.2720942147140305e-1,30,30,27
41,1,1,0.0,0,0,9,9,4.046961621258771e-2,2.0932716183015978e-2,5.953222899417791e-2,7.225910412216323e-2,0,0,0
41,1,1,0.0,0,1,9,9,4.7601607763832474e-2,1.973953572844758e-2,7.225910412216323e-2,3.8568957610960124e-2,0,0,0
41,1,1,0.0,0,2,9,9,2.991392033571849e-2,2.6998287118407186e-2,3.8568957610960124e-2,4.005681929364557e-2,0,0,0
41,1,1,0.0,1,0,9,19,4.046961621258771e-2,4.898352077649103e-4,5.953222899417791e-2,3.193404324294478e-2,10,0,0
41,1,1,0.0,1,1,19,23,6.3729378708101475e-3,3.121161540545874e-5,3.193404324294478e-2,1.5381901803833476e-3,4,0,0
41,1,1,0.0,1,2,23,25,1.716893878253244e-3,1.2099110043752967e-5,1.5381901803833476e-3,6.767477527294617e-5,3,1,0
41,1,1,0.3,0,0,9,9,4.288583055675047e-2,3.3146881211068374e-2,7.090297307115238e-2,9.307313011838833e-2,0,0,0
41,1,1,0.3,0,1,9,9,7.266247620355362e-2,3.5715975600909895e-2,9.307313011838833e-2,9.547575300969297e-2,0,0,0
41,1,1,0.3,0,2,9,9,7.257582879671015e-2,3.8481604443402345e-2,9.547575300969297e-2,5.5942662832160324e-2,0,0,0
41,1,1,0.3,1,0,9,25,4.288583055675047e-2,9.618291925190219e-3,7.090297307115238e-2,1.876354286189384e-1,20,4,0
41,1,1,0.3,1,1,25,25,1.4323556543119334e-1,9.25266833577012e-3,1.876354286189384e-1,1.1277271782425063e-1,30,30,1
41,1,1,0.3,1,2,25,25,9.674705643003831e-2,2.8547919237833244e-2,1.1277271782425063e-1,4.7623030164368696e-2,30,30,17
