seed,rich,role,window,index,steps,x,y,target_x,target_y
7,1,train,2,6,8,1.646483e-1,2.2179216e-1,1.6790456e-1,2.3191562e-1
7,1,train,2,7,24,1.646483e-1,2.2179216e-1,1.7491549e-1,2.5424445e-1
7,1,train,2,8,8,6.987028e-1,1.9769064e-1,6.905781e-1,2.0634604e-1
7,1,train,2,9,24,6.987028e-1,1.9769064e-1,6.745832e-1,2.2458823e-1
7,1,train,2,10,8,5.42342e-1,2.2854406e-1,5.4477346e-1,2.3424768e-1
7,1,train,2,11,24,5.42342e-1,2.2854406e-1,5.499413e-1,2.4546076e-1
7,1,train,2,12,8,3.6753613e-1,7.8307736e-1,3.7784708e-1,7.71676e-1
7,1,train,2,13,24,3.6753613e-1,7.8307736e-1,3.976227e-1,7.4740446e-1
7,1,train,2,14,8,6.756449e-1,6.409715e-1,6.430146e-1,6.1919993e-1
7,1,train,2,15,24,6.756449e-1,6.409715e-1,6.0554093e-1,5.969064e-1
7,1,train,2,16,8,2.4548563e-1,4.447946e-1,2.3928198e-1,4.5692262e-1
7,1,train,2,17,24,2.4548563e-1,4.447946e-1,2.3256052e-1,4.7736904e-1
7,1,train,2,18,8,3.216293e-1,7.600093e-1,3.3300647e-1,7.477657e-1
7,1,train,2,19,24,3.216293e-1,7.600093e-1,3.5510042e-1,7.226636e-1
7,1,train,2,20,8,1.8035159e-1,6.14278e-1,1.8859918e-1,6.0353017e-1
7,1,train,2,21,24,1.8035159e-1,6.14278e-1,2.0471197e-1,5.8518803e-1
7,1,train,2,22,8,7.1989167e-1,1.688638e-1,7.1200395e-1,1.7614111e-1
7,1,train,2,23,24,7.1989167e-1,1.688638e-1,6.959245e-1,1.9190855e-1
7,1,train,2,24,8,5.45328e-1,5.952093e-1,5.61115e-1,5.933488e-1
7,1,train,2,25,24,5.45328e-1,5.952093e-1,5.7773423e-1,5.9067035e-1
7,1,train,2,26,8,3.486578e-1,7.8718793e-1,3.5959157e-1,7.760074e-1
7,1,train,2,27,24,3.486578e-1,7.8718793e-1,3.8053584e-1,7.523233e-1
7,1,train,2,28,8,7.5647247e-1,8.1619143e-1,7.4485874e-1,8.079193e-1
7,1,train,2,29,24,7.5647247e-1,8.1619143e-1,7.1733165e-1,7.8590566e-1
7,1,train,2,30,8,4.5670986e-1,7.244202e-1,4.673844e-1,7.067151e-1
7,1,train,2,31,24,4.5670986e-1,7.244202e-1,4.9701515e-1,6.664791e-1
7,1,eval,-1,0,24,4.571319e-1,6.6966915e-1,5.1935714e-1,6.243868e-1
7,1,eval,-1,1,24,7.7727103e-1,4.8983333e-1,7.252427e-1,5.009401e-1
7,1,eval,-1,2,24,4.8228046e-1,7.550665e-1,5.077754e-1,6.910483e-1
7,1,eval,-1,3,24,1.7369469e-1,4.7421095e-1,1.8789731e-1,4.886635e-1
